WKT,PIXEL,X,Y
"POLYGON ((-80.0746017875045 40.664461213519,-80.0749130942671 40.6734635651827,-80.0630892819082 40.6737000159197,-80.0627795569067 40.6646976331134,-80.0746017875045 40.664461213519))",141113,-80.06885,40.66908
"POLYGON ((-80.0627795569067 40.6646976331134,-80.0630892819082 40.6737000159197,-80.0512653866011 40.6739352613307,-80.0509572433941 40.6649328475406,-80.0627795569067 40.6646976331134))",142113,-80.05702,40.66932
"POLYGON ((-80.0509572433941 40.6649328475406,-80.0512653866011 40.6739352613307,-80.0394414087688 40.6741693014033,-80.0391348473894 40.665166856788,-80.0509572433941 40.6649328475406))",143113,-80.04520,40.66955
"POLYGON ((-80.0391348473894 40.665166856788,-80.0394414087688 40.6741693014033,-80.0276173488344 40.6744021361252,-80.0273123693156 40.6653996608434,-80.0391348473894 40.665166856788))",144113,-80.03338,40.66978
"POLYGON ((-80.0273123693156 40.6653996608434,-80.0276173488344 40.6744021361252,-80.015793207221 40.6746337654839,-80.0154898095955 40.6656312596944,-80.0273123693156 40.6653996608434))",145113,-80.02155,40.67002
"POLYGON ((-80.0154898095955 40.6656312596944,-80.015793207221 40.6746337654839,-80.0039689843516 40.6748641894673,-80.0036671686522 40.6658616533286,-80.0154898095955 40.6656312596944))",146113,-80.00973,40.67025
"POLYGON ((-80.0036671686522 40.6658616533286,-80.0039689843516 40.6748641894673,-79.9921446806495 40.6750934080631,-79.9918444469084 40.666090841734,-80.0036671686522 40.6658616533286))",147113,-79.99791,40.67048
"POLYGON ((-79.9918444469084 40.666090841734,-79.9921446806495 40.6750934080631,-79.9803202965377 40.6753214212593,-79.9800216447873 40.6663188248985,-79.9918444469084 40.666090841734))",148113,-79.98608,40.67071
"POLYGON ((-79.9800216447873 40.6663188248985,-79.9803202965377 40.6753214212593,-79.9684958324393 40.6755482290437,-79.9681987627118 40.6665456028099,-79.9800216447873 40.6663188248985))",149113,-79.97426,40.67093
"POLYGON ((-79.9681987627118 40.6665456028099,-79.9684958324393 40.6755482290437,-79.9566712887776 40.6757738314043,-79.9563758011048 40.6667711754562,-79.9681987627118 40.6665456028099))",150113,-79.96244,40.67116
"POLYGON ((-79.9563758011048 40.6667711754562,-79.9566712887776 40.6757738314043,-79.9448466659757 40.6759982283292,-79.9445527603895 40.6669955428256,-79.9563758011048 40.6667711754562))",151113,-79.95061,40.67138
"POLYGON ((-79.9445527603895 40.6669955428256,-79.9448466659757 40.6759982283292,-79.9330219644569 40.6762214198066,-79.9327296409888 40.667218704906,-79.9445527603895 40.6669955428256))",152113,-79.93879,40.67161
"POLYGON ((-79.9327296409888 40.667218704906,-79.9330219644569 40.6762214198066,-79.9211971846443 40.6764434058245,-79.9209064433258 40.6674406616858,-79.9327296409888 40.667218704906))",153113,-79.92696,40.67183
"POLYGON ((-79.9209064433258 40.6674406616858,-79.9211971846443 40.6764434058245,-79.9093723269612 40.6766641863714,-79.9090831678235 40.6676614131532,-79.9209064433258 40.6674406616858))",154113,-79.91514,40.67205
"POLYGON ((-79.9090831678235 40.6676614131532,-79.9093723269612 40.6766641863714,-79.8975473918308 40.6768837614354,-79.8972598149051 40.6678809592965,-79.9090831678235 40.6676614131532))",155113,-79.90332,40.67227
"POLYGON ((-79.8972598149051 40.6678809592965,-79.8975473918308 40.6768837614354,-79.8857223796765 40.677102131005,-79.8854363849937 40.6680993001041,-79.8972598149051 40.6678809592965))",156113,-79.89149,40.67249
"POLYGON ((-79.8854363849937 40.6680993001041,-79.8857223796765 40.677102131005,-79.8738972909215 40.6773192950685,-79.8736128785123 40.6683164355644,-79.8854363849937 40.6680993001041))",157113,-79.87967,40.67271
"POLYGON ((-79.8736128785123 40.6683164355644,-79.8738972909215 40.6773192950685,-79.862072125989 40.6775352536146,-79.861789295884 40.6685323656659,-79.8736128785123 40.6683164355644))",158113,-79.86784,40.67293
