PIXEL,X,Y,id
162114,-79.8202675451,40.6647771280,"162,114"
163114,-79.8084444161,40.6649876199,"163,114"
164114,-79.7966212133,40.6651969066,"164,114"
165114,-79.7847979371,40.6654049879,"165,114"
166114,-79.7729745880,40.6656118638,"166,114"
167114,-79.7611511663,40.6658175344,"167,114"
168114,-79.7493276725,40.6660219995,"168,114"
169114,-79.7375041071,40.6662252593,"169,114"
170114,-79.7256804703,40.6664273136,"170,114"
171114,-79.7138567627,40.6666281626,"171,114"
172114,-79.7020329848,40.6668278061,"172,114"
173114,-79.6902091368,40.6670262442,"173,114"
174114,-79.6783852192,40.6672234768,"174,114"
133115,-80.1627812402,40.6491464458,"133,115"
134115,-80.1509620165,40.6493918552,"134,115"
135115,-80.1391427066,40.6496360598,"135,115"
136115,-80.1273233112,40.6498790596,"136,115"
137115,-80.1155038306,40.6501208545,"137,115"
138115,-80.1036842652,40.6503614446,"138,115"
139115,-80.0918646154,40.6506008297,"139,115"
140115,-80.0800448818,40.6508390100,"140,115"
141115,-80.0682250646,40.6510759853,"141,115"
142115,-80.0564051644,40.6513117557,"142,115"
143115,-80.0445851815,40.6515463212,"143,115"
144115,-80.0327651164,40.6517796818,"144,115"
145115,-80.0209449695,40.6520118373,"145,115"
146115,-80.0091247411,40.6522427879,"146,115"
147115,-79.9973044319,40.6524725336,"147,115"
148115,-79.9854840420,40.6527010742,"148,115"
149115,-79.9736635721,40.6529284098,"149,115"
150115,-79.9618430225,40.6531545404,"150,115"
151115,-79.9500223936,40.6533794660,"151,115"
152115,-79.9382016858,40.6536031865,"152,115"
153115,-79.9263808997,40.6538257019,"153,115"
154115,-79.9145600355,40.6540470123,"154,115"
155115,-79.9027390937,40.6542671176,"155,115"
156115,-79.8909180748,40.6544860179,"156,115"
157115,-79.8790969791,40.6547037130,"157,115"
158115,-79.8672758072,40.6549202030,"158,115"
159115,-79.8554545593,40.6551354878,"159,115"
160115,-79.8436332360,40.6553495676,"160,115"
161115,-79.8318118376,40.6555624422,"161,115"
162115,-79.8199903646,40.6557741116,"162,115"
163115,-79.8081688174,40.6559845759,"163,115"
164115,-79.7963471965,40.6561938349,"164,115"
165115,-79.7845255022,40.6564018888,"165,115"
166115,-79.7727037349,40.6566087375,"166,115"
167115,-79.7608818952,40.6568143809,"167,115"
168115,-79.7490599834,40.6570188192,"168,115"
169115,-79.7372379999,40.6572220522,"169,115"
170115,-79.7254159451,40.6574240799,"170,115"
171115,-79.7135938196,40.6576249024,"171,115"
172115,-79.7017716237,40.6578245196,"172,115"
173115,-79.6899493578,40.6580229315,"173,115"
174115,-79.6781270223,40.6582201382,"174,115"
133116,-80.1624582876,40.6401442826,"133,116"
134116,-80.1506406442,40.6403896598,"134,116"
135116,-80.1388229149,40.6406338322,"135,116"
